time,/ap
0.460832,-3.87622e-05
0.466665,-3.52726e-05
0.472498,-3.23697e-05
0.478332,-2.94667e-05
0.484165,-2.72159e-05
0.489998,-2.49651e-05
0.495832,-2.30585e-05
0.501665,-2.11518e-05
0.507498,-1.94932e-05
0.513332,-1.78346e-05
0.519165,-1.64067e-05
0.524998,-1.49787e-05
0.530832,-1.37663e-05
0.536665,-1.25538e-05
0.542498,-1.15453e-05
0.548331,-1.05367e-05
0.554165,-9.70005e-06
0.559998,-8.86338e-06
0.565831,-8.18393e-06
0.571665,-7.50448e-06
0.577498,-6.9513e-06
0.583331,-6.39813e-06
0.589165,-5.94379e-06
0.594998,-5.48945e-06
0.600831,-5.12154e-06
0.606665,-4.75363e-06
0.612498,-4.47115e-06
0.618331,-4.18868e-06
0.624165,-3.97984e-06
0.629998,-3.771e-06
0.635831,-3.58512e-06
0.641664,-3.39924e-06
0.647498,-3.26034e-06
0.653331,-3.12143e-06
0.659164,-3.09541e-06
0.664998,-3.06938e-06
0.670831,-3.2973e-06
0.676664,-3.52521e-06
0.682498,-4.33596e-06
0.688331,-5.14671e-06
0.694164,-2.62921e-05
0.699998,-4.74376e-05
time,/km
0,-0.194985
0.00583331,-0.190563
0.0116666,-0.186142
0.0174999,-0.164025
0.0233333,-0.141909
0.0291666,-0.166891
0.0349999,-0.191873
0.0408332,-0.189185
0.0466665,-0.186497
0.0524998,-0.156175
0.0583331,-0.125853
0.0641664,-0.129241
0.0699998,-0.132629
0.0758331,-0.0992887
0.0816664,-0.0659488
0.0874997,-0.0413642
0.093333,-0.0167795
0.0991663,-0.0104186
0.105,-0.00405771
0.110833,-0.00574252
0.116666,-0.00742733
0.1225,-0.0157781
0.128333,-0.0241289
0.134166,-0.0351181
0.14,-0.0461072
0.145833,-0.0603231
0.151666,-0.074539
0.157499,-0.0785673
0.163333,-0.0825955
0.169166,-0.0838801
0.174999,-0.0851646
0.180833,-0.102195
0.186666,-0.119226
0.192499,-0.130463
0.198333,-0.141699
0.204166,-0.152078
0.209999,-0.162456
0.215833,-0.185822
0.221666,-0.209187
0.227499,-0.248476
0.233333,-0.287765
0.239166,-0.339808
0.244999,-0.391851
0.250832,-0.471588
0.256666,-0.551326
0.262499,-0.663161
0.268332,-0.774996
0.274166,-0.840376
0.279999,-0.905755
0.285832,-0.924609
0.291666,-0.943463
0.297499,-0.952651
0.303332,-0.961839
0.309166,-0.912404
0.314999,-0.862968
0.320832,-0.908723
0.326666,-0.954477
0.332499,-0.960002
0.338332,-0.965526
0.344165,-0.953492
0.349999,-0.941458
0.355832,-0.929649
0.361665,-0.91784
0.367499,-0.944078
0.373332,-0.970317
0.379165,-0.98506
0.384999,-0.999803
0.390832,-0.99983
0.396665,-0.999858
0.402499,-0.999876
0.408332,-0.999895
0.414165,-0.999905
0.419999,-0.999916
0.425832,-0.99992
0.431665,-0.999924
0.437498,-0.999927
0.443332,-0.999929
0.449165,-0.999934
0.454998,-0.999938
0.460832,-0.999942
0.466665,-0.999947
0.472498,-0.999953
0.478332,-0.999959
0.484165,-0.999966
0.489998,-0.999973
0.495832,-0.99989
0.501665,-0.999807
0.507498,-0.999886
0.513332,-0.999964
0.519165,-0.999973
0.524998,-0.999981
0.530832,-0.999985
0.536665,-0.999989
0.542498,-0.999964
0.548331,-0.999939
0.554165,-0.999932
0.559998,-0.999924
0.565831,-0.999953
0.571665,-0.999983
0.577498,-0.999985
0.583331,-0.999988
0.589165,-0.99999
0.594998,-0.999992
0.600831,-0.999994
0.606665,-0.999996
0.612498,-0.999974
0.618331,-0.999953
0.624165,-0.999973
0.629998,-0.999993
0.635831,-0.999995
0.641664,-0.999996
0.647498,-0.999996
0.653331,-0.999997
0.659164,-0.999985
0.664998,-0.999972
0.670831,-0.999968
0.676664,-0.999964
0.682498,-0.999941
0.688331,-0.999918
0.694164,-0.999607
0.699998,-0.999297
time,/hm
0,-0.837769
0.00583331,-0.831096
0.0116666,-0.824423
0.0174999,-0.791665
0.0233333,-0.758907
0.0291666,-0.802845
0.0349999,-0.846784
0.0408332,-0.717348
0.0466665,-0.587912
0.0524998,-0.60441
0.0583331,-0.620907
0.0641664,-0.612548
0.0699998,-0.60419
0.0758331,-0.598473
0.0816664,-0.592756
0.0874997,-0.58748
0.093333,-0.582205
0.0991663,-0.581056
0.105,-0.579908
0.110833,-0.554621
0.116666,-0.529334
0.1225,-0.508686
0.128333,-0.488038
0.134166,-0.441838
0.14,-0.395638
0.145833,-0.392597
0.151666,-0.389555
0.157499,-0.358271
0.163333,-0.326988
0.169166,-0.294423
0.174999,-0.261858
0.180833,-0.221781
0.186666,-0.181703
0.192499,-0.132425
0.198333,-0.0831462
0.204166,-0.0501012
0.209999,-0.0170562
0.215833,-0.0107837
0.221666,-0.00451113
0.227499,-0.00608353
0.233333,-0.00765593
0.239166,-0.00423851
0.244999,-0.000821094
0.250832,-0.000550268
0.256666,-0.000279441
0.262499,-0.000391935
0.268332,-0.00050443
0.274166,-0.0004718
0.279999,-0.000439169
0.285832,-0.000427169
0.291666,-0.000415169
0.297499,-0.000389412
0.303332,-0.000363655
0.309166,-0.000341601
0.314999,-0.000319548
0.320832,-0.00029852
0.326666,-0.000277492
0.332499,-0.000257182
0.338332,-0.000236871
0.344165,-0.000217795
0.349999,-0.000198718
0.355832,-0.000181476
0.361665,-0.000164235
0.367499,-0.000149232
0.373332,-0.000134228
0.379165,-0.000121855
0.384999,-0.000109482
0.390832,-9.9894e-05
0.396665,-9.03059e-05
0.402499,-8.2797e-05
0.408332,-7.5288e-05
0.414165,-6.91005e-05
0.419999,-6.2913e-05
0.425832,-5.78811e-05
0.431665,-5.28491e-05
0.437498,-4.85595e-05
0.443332,-4.42698e-05
0.449165,-4.05865e-05
0.454998,-3.69032e-05
0.460832,-3.37574e-05
0.466665,-3.06115e-05
0.472498,-2.7906e-05
0.478332,-2.52005e-05
0.484165,-2.28679e-05
0.489998,-2.05353e-05
0.495832,-1.86833e-05
0.501665,-1.68312e-05
0.507498,-1.53717e-05
0.513332,-1.39123e-05
0.519165,-1.27593e-05
0.524998,-1.16064e-05
0.530832,-1.06927e-05
0.536665,-9.77899e-06
0.542498,-9.05382e-06
0.548331,-8.32865e-06
0.554165,-7.76215e-06
0.559998,-7.19565e-06
0.565831,-6.75266e-06
0.571665,-6.30967e-06
0.577498,-5.97116e-06
0.583331,-5.63266e-06
0.589165,-5.38722e-06
0.594998,-5.14178e-06
0.600831,-4.98032e-06
0.606665,-4.81885e-06
0.612498,-4.73422e-06
0.618331,-4.64958e-06
0.624165,-4.64853e-06
0.629998,-4.64748e-06
0.635831,-4.83392e-06
0.641664,-5.02036e-06
0.647498,-5.53931e-06
0.653331,-6.05825e-06
0.659164,-7.23247e-06
0.664998,-8.40669e-06
0.670831,-1.14982e-05
0.676664,-1.45898e-05
0.682498,-2.52826e-05
0.688331,-3.59755e-05
0.694164,-0.000217117
0.699998,-0.000398258
