t,ang1,ang2,ang3,ang4,v1,v2,v3,v4,TA,TK,TH,TspA,TspK,TspH,PA,PK,PH,spPA,spPK,spPH,spEA,spEK,spEH,y,vx,vy,Fy,totE
0.03,0.523673,-0.905382,0.432849,-0.422531,0.0488376,-2.17791,5.40343,-4.68116,-78.9472,-0.184664,-72.8799,0,0,0,171.94,-0.99782,341.162,0,0,0,0,0,0,1.09332,-0.00998662,-0.491437,-642.056,872.498
0.0305,0.5237,-0.906479,0.435564,-0.424882,0.0589258,-2.21249,5.45699,-4.7215,-78.8932,-0.177911,-72.1345,0,0,0,174.55,-0.970859,340.583,0,0,0,0,0,0,1.09307,-0.010374,-0.500349,-640.007,872.755
0.031,0.523732,-0.907594,0.438306,-0.427252,0.0692883,-2.24687,5.50913,-4.76048,-78.8288,-0.170544,-71.4075,0,0,0,177.118,-0.93955,339.934,0,0,0,0,0,0,1.09282,-0.0107671,-0.509247,-637.884,873.013
0.0315,0.523769,-0.908726,0.441073,-0.429642,0.0799189,-2.28105,5.55987,-4.79814,-78.7547,-0.162598,-70.6982,0,0,0,179.643,-0.904023,339.22,0,0,0,0,0,0,1.09256,-0.0111658,-0.518132,-635.692,873.271
0.032,0.523812,-0.909875,0.443866,-0.43205,0.0908117,-2.31503,5.60924,-4.83451,-78.6714,-0.154103,-70.006,0,0,0,182.127,-0.864401,338.445,0,0,0,0,0,0,1.0923,-0.01157,-0.527003,-633.435,873.531
0.0325,0.52386,-0.911041,0.446682,-0.434476,0.101961,-2.34882,5.65727,-4.86961,-78.5795,-0.145089,-69.3305,0,0,0,184.569,-0.820808,337.612,0,0,0,0,0,0,1.09204,-0.0119796,-0.535859,-631.118,873.791
0.033,0.523914,-0.912224,0.449523,-0.43692,0.113363,-2.38241,5.70398,-4.90348,-78.4795,-0.135583,-68.671,0,0,0,186.971,-0.773364,336.727,0,0,0,0,0,0,1.09177,-0.0123944,-0.544701,-628.745,874.052
0.0335,0.523974,-0.913424,0.452386,-0.43938,0.125012,-2.41582,5.74941,-4.93613,-78.3717,-0.125611,-68.0271,0,0,0,189.332,-0.722187,335.791,0,0,0,0,0,0,1.09149,-0.0128144,-0.553528,-626.319,874.314
0.034,0.524039,-0.91464,0.455272,-0.441856,0.136903,-2.44905,5.79358,-4.96761,-78.2568,-0.115195,-67.3984,0,0,0,191.655,-0.667392,334.809,0,0,0,0,0,0,1.09121,-0.0132395,-0.56234,-623.845,874.576
0.0345,0.52411,-0.915873,0.458179,-0.444347,0.149033,-2.4821,5.83652,-4.99793,-78.135,-0.10436,-66.7841,0,0,0,193.939,-0.609098,333.783,0,0,0,0,0,0,1.09093,-0.0136695,-0.571136,-621.325,874.839
0.035,0.524188,-0.917122,0.461108,-0.446853,0.161397,-2.51498,5.87825,-5.02713,-78.0068,-0.0928221,-66.1977,0,0,0,196.185,-0.545631,332.784,0,0,0,0,0,0,1.09064,-0.0141044,-0.579916,-618.774,875.103
